epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7926,2.23318,3.25261,1.64214,0.03237,0.44974,0.14792,0.0925,1.94656,3.32148,1.51297,0.00030006,0.00030006,0.00030006
2,94.5191,1.97007,2.3038,1.45804,0.85995,0.1294,0.24633,0.15022,1.87779,2.96838,1.42496,0.000494666,0.000494666,0.000494666
3,139.512,1.82122,1.81713,1.36123,0.48988,0.27147,0.34212,0.21709,1.85129,2.49226,1.40506,0.000563846,0.000563846,0.000563846
4,184.553,1.74419,1.62286,1.35128,0.48871,0.42818,0.41251,0.24654,1.83704,2.04138,1.40278,0.000507602,0.000507602,0.000507602
5,229.746,1.72193,1.54353,1.3209,0.48128,0.51401,0.45886,0.29497,1.75291,1.77896,1.36634,0.000325932,0.000325932,0.000325932
