group,n,overall_hybrid_score_mean,overall_hybrid_score_median,overall_hybrid_score_std,overall_hybrid_score_min,overall_hybrid_score_max,engineering_score_mean,engineering_score_median,engineering_score_std,engineering_score_min,engineering_score_max,ml_confidence_mean,ml_confidence_median,ml_confidence_std,ml_confidence_min,ml_confidence_max,average_sustainability_mean,average_sustainability_median,average_sustainability_std,average_sustainability_min,average_sustainability_max,decision_confidence_score_mean,decision_confidence_score_median,decision_confidence_score_std,decision_confidence_score_min,decision_confidence_score_max,eco_rating_mean,eco_rating_median,eco_rating_std,eco_rating_min,eco_rating_max
Commercial,8,78.97,80.15,3.58,70.3,81.3,85.88,87.05,4.12,75.8,88.2,58.33,60.0,3.44,53.3,61.6,62.84,64.7,4.26,55.5,66.6,87.5,87.8,1.53,85.5,88.9,62.84,64.7,4.26,55.5,66.6
Hospital,3,69.53,71.5,5.81,63.0,74.1,76.97,81.0,7.34,68.5,81.4,47.23,46.4,4.71,43.0,52.3,73.2,70.4,5.38,69.8,79.4,86.1,86.8,1.3,84.6,86.9,73.2,70.4,5.38,69.8,79.4
Hotel,5,74.26,75.4,3.5,68.1,76.7,85.28,87.6,5.31,75.8,88.1,41.26,42.1,3.05,37.5,45.1,68.22,67.6,3.4,64.5,73.8,88.38,88.8,0.94,86.7,88.9,68.22,67.6,3.4,64.5,73.8
Office,10,71.55,73.65,4.85,62.8,76.3,78.85,81.25,5.53,68.5,83.4,49.59,52.35,4.7,42.8,54.9,73.1,72.1,3.77,69.8,80.0,85.72,85.75,1.9,83.6,89.0,73.1,72.1,3.77,69.8,80.0
Residential,12,82.06,83.4,3.97,75.6,86.6,89.33,91.35,5.58,80.2,95.0,60.17,60.2,1.47,57.8,61.9,72.68,71.5,4.42,65.6,80.0,89.19,88.6,1.67,86.7,92.5,72.68,71.5,4.42,65.6,80.0
School,6,75.68,75.95,3.05,70.4,79.7,83.53,84.2,4.03,76.1,88.3,52.2,52.6,1.5,50.4,53.9,66.03,66.2,0.94,64.4,66.9,88.05,87.75,1.27,86.8,90.5,66.03,66.2,0.94,64.4,66.9
Warehouse,6,72.7,74.15,3.61,65.4,74.9,78.95,80.95,4.98,68.9,82.1,54.03,54.0,0.47,53.5,54.9,72.35,72.6,5.23,64.2,80.6,84.47,83.8,1.96,81.9,87.1,72.35,72.6,5.23,64.2,80.6
