group,n,overall_hybrid_score_mean,overall_hybrid_score_median,overall_hybrid_score_std,overall_hybrid_score_min,overall_hybrid_score_max,engineering_score_mean,engineering_score_median,engineering_score_std,engineering_score_min,engineering_score_max,ml_confidence_mean,ml_confidence_median,ml_confidence_std,ml_confidence_min,ml_confidence_max,average_sustainability_mean,average_sustainability_median,average_sustainability_std,average_sustainability_min,average_sustainability_max,decision_confidence_score_mean,decision_confidence_score_median,decision_confidence_score_std,decision_confidence_score_min,decision_confidence_score_max,eco_rating_mean,eco_rating_median,eco_rating_std,eco_rating_min,eco_rating_max
Balanced,20,76.44,75.3,6.35,63.0,86.6,83.66,83.6,7.19,68.5,95.0,54.79,54.0,4.8,45.1,61.3,69.77,70.1,5.2,59.2,80.6,86.64,86.8,2.46,81.9,92.5,69.77,70.1,5.2,59.2,80.6
Budget,14,77.91,76.55,4.48,70.4,84.9,84.97,84.1,5.12,76.1,92.9,56.76,54.45,3.85,52.3,61.9,68.54,70.35,5.85,55.5,77.8,87.81,88.15,2.16,83.7,90.5,68.54,70.35,5.85,55.5,77.8
Premium,16,73.91,75.25,5.58,62.8,84.1,82.31,81.8,6.95,68.5,92.8,48.71,45.4,8.04,37.5,61.9,71.38,70.4,5.55,64.5,80.0,87.55,88.6,1.91,83.6,90.4,71.38,70.4,5.55,64.5,80.0
