metric,n,mean,median,min,max,std_dev,p25,p75,range
Hybrid Score (Overall),50,76.044,75.5,62.8,86.6,5.746,74.0,80.2,23.8
Engineering Score,50,83.594,83.5,68.5,95.0,6.546,80.4,87.9,26.5
ML Confidence,50,53.398,53.85,37.5,61.9,6.624,50.4,59.5,24.4
Sustainability Score,50,69.938,70.4,55.5,80.6,5.498,66.4,72.6,25.1
Decision Confidence (%),50,87.256,87.1,81.9,92.5,2.228,86.5,88.8,10.6
Eco Rating,50,69.938,70.4,55.5,80.6,5.498,66.4,72.6,25.1
Response Time (ms),50,7993.72,5109.45,1876.1,17498.8,4446.342,4384.9,12481.0,15622.7
