group,n,overall_hybrid_score_mean,overall_hybrid_score_median,overall_hybrid_score_std,overall_hybrid_score_min,overall_hybrid_score_max,engineering_score_mean,engineering_score_median,engineering_score_std,engineering_score_min,engineering_score_max,ml_confidence_mean,ml_confidence_median,ml_confidence_std,ml_confidence_min,ml_confidence_max,average_sustainability_mean,average_sustainability_median,average_sustainability_std,average_sustainability_min,average_sustainability_max,decision_confidence_score_mean,decision_confidence_score_median,decision_confidence_score_std,decision_confidence_score_min,decision_confidence_score_max,eco_rating_mean,eco_rating_median,eco_rating_std,eco_rating_min,eco_rating_max
Dry Zone Tropical Arid,6,79.87,79.9,4.74,73.3,86.6,87.25,87.3,5.41,79.7,95.0,57.65,57.55,3.75,53.9,61.6,65.68,65.0,6.2,55.5,72.2,87.92,87.95,3.68,81.9,92.5,65.68,65.0,6.2,55.5,72.2
Extreme Coastal Saline,14,77.61,76.3,4.37,70.9,84.7,85.54,84.8,4.5,80.2,92.8,53.84,53.6,5.83,42.1,61.5,68.29,69.8,4.49,59.2,73.1,87.63,87.9,2.03,83.6,90.4,68.29,69.8,4.49,59.2,73.1
Intermediate Tropical,10,68.98,69.2,5.41,62.8,75.8,74.29,75.8,5.21,68.5,80.4,53.01,53.6,7.18,45.1,61.9,76.38,79.7,5.77,65.6,80.6,86.63,86.7,1.64,84.6,88.6,76.38,79.7,5.77,65.6,80.6
Moderate Coastal Humid,20,77.33,75.35,4.22,71.5,84.9,85.78,86.8,4.29,80.3,92.9,52.01,53.05,7.34,37.5,60.8,69.14,69.75,2.83,64.7,73.0,87.11,87.3,2.16,83.6,90.4,69.14,69.75,2.83,64.7,73.0
