group,n,overall_hybrid_score_mean,overall_hybrid_score_median,overall_hybrid_score_std,overall_hybrid_score_min,overall_hybrid_score_max,engineering_score_mean,engineering_score_median,engineering_score_std,engineering_score_min,engineering_score_max,ml_confidence_mean,ml_confidence_median,ml_confidence_std,ml_confidence_min,ml_confidence_max,average_sustainability_mean,average_sustainability_median,average_sustainability_std,average_sustainability_min,average_sustainability_max,decision_confidence_score_mean,decision_confidence_score_median,decision_confidence_score_std,decision_confidence_score_min,decision_confidence_score_max,eco_rating_mean,eco_rating_median,eco_rating_std,eco_rating_min,eco_rating_max
Load-Bearing Masonry,3,80.8,83.2,4.33,75.8,83.4,87.67,91.3,6.29,80.4,91.3,60.23,59.8,1.5,59.0,61.9,72.2,69.7,4.86,69.1,77.8,88.47,88.4,0.12,88.4,88.6,72.2,69.7,4.86,69.1,77.8
Reinforced Concrete Frame,37,75.73,75.6,6.16,62.8,86.6,83.44,83.6,7.12,68.5,95.0,52.57,53.3,6.93,37.5,61.9,69.68,69.8,5.95,55.5,80.6,87.98,87.9,1.74,84.6,92.5,69.68,69.8,5.95,55.5,80.6
Steel Frame,10,75.79,74.15,4.0,70.9,83.4,82.93,81.1,3.96,79.7,91.4,54.4,54.0,5.17,42.8,60.5,70.21,72.6,3.93,64.2,73.1,84.21,83.8,1.39,81.9,86.9,70.21,72.6,3.93,64.2,73.1
