2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 176: 63.8
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Waterproofing', material 177: 87.80000000000001
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 178: 69.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 179: 92.2
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Surface Finishes', material 180: 54.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 119: 55.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 120: 41.599999999999994
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 121: 82.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 122: 33.199999999999996
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Foundation Materials', material 123: 90.4
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Concrete', material 124: 53.2
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Concrete', material 125: 40.39999999999999
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Concrete', material 126: 84.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Concrete', material 127: 48.0
2026-06-19 15:39:34,154 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 128: 30.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 129: 51.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 130: 40.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 131: 21.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Reinforcement Steel', material 132: 66.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 133: 82.2
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 134: 86.8
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 135: 52.4
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 136: 95.6
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 137: 79.6
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Walls', material 138: 80.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 139: 59.8
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 140: 83.80000000000001
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 141: 48.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 142: 47.2
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 143: 59.2
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 144: 94.8
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 145: 51.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Roofing', material 146: 73.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Windows', material 147: 78.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Windows', material 148: 55.0
2026-06-19 15:39:34,155 - DEBUG - Heuristic ML score for component 'Windows', material 149: 75.0
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Windows', material 150: 60.0
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Windows', material 151: 53.2
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Windows', material 152: 55.2
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 153: 76.2
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 154: 48.0
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 155: 59.8
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 156: 50.0
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 157: 35.2
2026-06-19 15:39:34,156 - DEBUG - Heuristic ML score for component 'Doors', material 158: 75.19999999999999
